SeasonID,LeagueID,SeasonDesc,TicketTitle1,TicketTitle2,TicketTitle3,TicketTitle4,TicketTitle5,TicketAmount1,TicketAmount2,TicketAmount3,TicketAmount4,TicketAmount5,TicketCredits1,TicketCredits2,TicketCredits3,TicketCredits4,TicketCredits5,PayButton1,PayButton2,PayButton3,PayButton4,PayButton5,ConfirmQty,CustomReg1,CustomReg2,DateStart,DateEnd,DateRegOpen,DateRegClosed,DateCreated,DateUpdated,ByCreated,ByUpdated,IsRegCustom,IsRegHidden,IsHeroTextHidden,IsTourney,IsVisible,IsActive,PayButtonPlayer
1,1,2010 Spring,,,,,,,,,,,1,1,,,,,,,,,,,,2010-03-01,2010-08-01,2010-01-01,2010-02-01,2013-12-27 10:00:00,2013-12-27 10:00:00,1,1,0,0,,0,1,1,
2,1,2010 Fall,,,,,,,,,,,1,1,,,,,,,,,,,,2010-08-02,2010-10-01,2010-07-01,2010-07-15,2013-12-27 10:00:00,2013-12-27 10:00:00,1,1,0,0,,0,1,1,
3,1,2011 Spring,,,,,,,,,,,1,1,,,,,,,,,,,,2011-03-01,2011-08-01,2011-01-01,2011-02-22,2013-12-27 10:00:00,2013-12-27 10:00:00,1,1,0,0,,0,1,1,
4,1,2011 Fall,,,,,,,,,,,1,1,,,,,,,,,,,,2011-08-02,2011-10-01,2011-07-01,2011-07-28,2013-12-27 10:00:00,2013-12-27 10:00:00,1,1,0,0,,0,1,1,
5,1,2012 Spring,,,,,,,,,,,1,1,,,,,,,,,,,,2012-03-01,2012-08-01,2012-01-01,2012-02-17,2013-12-27 10:00:00,2013-12-27 10:00:00,1,1,0,0,,0,1,1,
6,1,2012 Fall,,,,,,,,,,,1,1,,,,,,,,,,,,2012-08-02,2012-10-01,2012-07-01,2012-07-23,2013-12-27 10:00:00,2013-12-27 10:00:00,1,1,0,0,,0,1,1,
7,1,2013 Spring,,,,,,,,,,,1,1,,,,,,,,,,,,2013-03-01,2013-08-01,2013-02-12,2013-02-27,2013-12-27 10:00:00,2013-12-27 10:00:00,1,1,0,0,,0,1,1,
8,1,2013 Fall,,,,,,,,,,,1,1,,,,,,,,,,,,2013-08-02,2013-10-01,2013-07-01,2013-07-31,2013-12-27 10:00:00,2013-12-27 10:00:00,1,1,0,0,,0,1,1,
9,1,2014 Spring,,,,,,85,670,,,,1,1,,,,EXM2Q3PWFLSX6,ZT5H5D5UB2MSN,,,,10,,,2014-01-01,2014-08-30,2014-01-24,2014-06-12,2013-12-27 12:48:00,2014-06-07 20:42:00,1,355,0,0,0,0,1,1,
