LinkID,TeamID,SponsorID,isActive
1,1,8,1
2,2,1,1
3,3,38,1
4,4,5,1
5,6,8,1
6,6,9,1
7,6,10,1
8,6,43,1
9,7,1,1
10,8,6,1
11,9,3,1
12,10,11,1
13,11,38,1
14,11,16,1
15,12,1,1
16,14,13,1
17,15,13,1
18,16,23,1
19,19,1,1
20,20,19,1
21,21,25,1
22,23,12,1
23,26,39,1
24,27,29,1
25,30,14,1
26,33,30,1
27,34,31,1
28,36,32,1
29,38,41,1
30,38,42,1
31,39,36,1
32,40,35,1
33,41,33,1
34,18,40,1
35,13,17,1
36,5,4,1
37,17,20,1
38,17,18,1
39,25,47,
40,7,37,
41,19,21,
42,32,45,
43,29,46,
44,37,44,
45,8,7,
46,10,12,
47,14,14,
48,14,15,
49,15,14,
50,15,18,
51,18,22,
52,16,24,
53,21,26,
54,22,27,
55,22,28,
56,31,48,
57,37,44,1
58,31,48,1
59,29,46,1
60,25,47,1
61,19,21,1
62,7,37,1
63,41,34,1
64,32,45,1
65,16,49,1
66,43,50,1
67,50,31,0
68,50,31,1
69,54,51,1
70,83,38,1
71,57,8,1
72,61,1,1
73,88,31,1
74,56,24,0
75,64,13,1
76,64,14,1
77,64,15,1
78,61,54,1
79,61,53,1
80,61,52,1
81,61,55,1
82,73,29,1
83,87,30,1
84,85,45,1
85,91,11,1
86,93,56,1
87,82,58,1
88,86,57,1
89,55,3,1
90,84,1,1
91,84,21,1
92,75,49,1
93,78,51,1
94,76,12,1
95,81,39,1
96,79,47,1
97,68,11,0
98,68,11,0
99,94,35,1
100,68,11,1
101,65,20,1
102,66,63,1
103,90,64,1
104,70,1,1
105,63,38,1
106,63,38,0
107,137,1,1
108,134,58,1
109,136,38,1
110,133,39,0
111,133,49,1
112,133,39,1
113,115,38,1
114,114,1,1
115,112,8,1
116,127,29,1
117,148,67,0
118,118,13,1
119,118,14,1
120,148,67,1
121,145,66,1
122,147,68,1
123,147,69,1
124,118,15,1
125,142,31,1
126,113,1,1
127,140,25,1
128,117,3,1
129,125,19,1
130,124,70,1
131,132,71,1
132,114,54,1
133,120,11,1
134,110,72,1
135,135,12,1
136,121,74,1
137,146,75,0
138,146,75,1
139,109,4,1
140,122,6,1
141,123,1,1
142,139,57,1
143,172,11,1
144,202,77,0
145,202,77,0
146,202,77,1
147,164,1,1
148,182,39,1
149,197,75,1
150,205,78,1
151,201,16,1
152,201,79,0
153,201,79,1
154,179,80,1
155,179,81,1
156,173,1,1
157,198,8,1
158,162,8,1
159,166,1,1
160,170,6,1
161,199,4,0
162,176,19,1
163,192,67,1
164,192,82,1
165,196,66,1
166,187,76,1
167,187,31,1
168,178,83,1
169,182,49,1
170,165,12,1
171,165,1,1
172,182,85,1
173,182,84,1
174,182,86,1
175,203,38,1
176,167,3,1
177,167,89,1
178,163,38,1
179,181,95,1
180,168,96,1
181,191,97,1
182,184,12,1
183,184,98,1
184,184,99,1
185,192,100,1
